"","type","title","subtitle","from","date","link"
"662","News story","Jenrick launches £266 million housing fund for vulnerable people","Next Steps Accommodation Programme launched today makes resources available to councils to help ensure 15,000 people continue to have a safe place to stay.","Ministry of Housing, Communities & Local Government, Luke Hall MP, and The Rt Hon Robert Jenrick MP",2020-07-18,"https://www.gov.uk/government/news/jenrick-launches-266-million-housing-fund-for-vulnerable-people"
"663","News story","New government structures to coordinate response to coronavirus","The Prime Minister has set up new ministerial structures to coordinate, prioritise and respond to the coronavirus pandemic across government.","Prime Minister's Office, 10 Downing Street, Cabinet Office, Department of Health and Social Care, Foreign & Commonwealth Office, HM Treasury, Department for Business, Energy & Industrial Strategy, and The Rt Hon Boris Johnson MP",2020-03-17,"https://www.gov.uk/government/news/new-government-structures-to-coordinate-response-to-coronavirus"
"664","Press release","Health Secretary welcomes reopening of fertility services","New guidance will allow clinics to reopen if they can prove measures to protect staff and patients are in place.","Department of Health and Social Care",2020-05-01,"https://www.gov.uk/government/news/health-secretary-welcomes-reopening-of-fertility-services"
"665","News story","Vocational and technical qualification assessments in 2021","Ofqual publishes regulatory arrangements on adapting vocational and technical qualifications and assessments in 2021.","Ofqual",2020-10-12,"https://www.gov.uk/government/news/vocational-and-technical-qualification-assessments-in-2021--2"
"666","Speech","Business Secretary at the CBI 2020 Annual Conference","Business Secretary Alok Sharma's speech for the Confederation of British Industry's (CBI) 2020 Annual Conference.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-11-02,"https://www.gov.uk/government/speeches/business-secretary-at-the-cbi-2020-annual-conference"
"667","World news story","Guatemala joins UK-Mexico seminar to discuss access to COVID-19 vaccines","The United Kingdom and Mexico hosted the virtual seminar “Accelerating access to COVID-19 vaccines in Latin America and the Caribbean” on 5 August.","British Embassy Guatemala City",2020-08-05,"https://www.gov.uk/government/news/guatemala-joins-uk-mexico-seminar-to-discuss-access-to-covid-19-vaccines"
"668","Press release","Eligibility for government childcare offers protected","Temporary measures ensure critical workers will still be eligible for childcare offers if their income has changed due to coronavirus","Department for Education, HM Revenue & Customs, and Vicky Ford MP",2020-05-05,"https://www.gov.uk/government/news/eligibility-for-government-childcare-offers-protected"
"669","News story","HM Treasury extends tax cut to PPE costs","The temporary scrapping of VAT on PPE has been extended until the end of October - saving care homes and businesses dealing with the coronavirus outbreak £155 million, the government announced today.","HM Treasury",2020-07-03,"https://www.gov.uk/government/news/hm-treasury-extends-tax-cut-to-ppe-costs"
"670","Press release","UK Government helps more than 50,000 businesses in Wales","Businesses in Wales benefited from more than £1.3 billion in UK Government support to protect and support jobs as a result of the coronavirus","Office of the Secretary of State for Wales, HM Treasury, and The Rt Hon Simon Hart MP",2020-10-15,"https://www.gov.uk/government/news/uk-government-helps-more-than-50000-businesses-in-wales"
"671","Press release","More than 2 million people reached by NHS Test and Trace","NHS Test and Trace has completed a record number of cases during this reporting week, with 85% of people who have tested positive successfully contacted.","Department of Health and Social Care",2020-11-12,"https://www.gov.uk/government/news/more-than-2-million-people-reached-by-nhs-test-and-trace"
"672","Press release","Next stage of expanded coronavirus (COVID-19) public information campaign launches","Launch of the next stage of the public information campaign including TV adverts featuring CMO Professor Chris Whitty.","Department of Health and Social Care",2020-03-15,"https://www.gov.uk/government/news/next-stage-of-expanded-coronavirus-covid-19-public-information-campaign-launches"
"673","News story","Coronavirus outbreak: flights from China","Details of the second evacuation flight from Wuhan and scheduled flights from the rest of mainland China.","Foreign & Commonwealth Office",2020-02-05,"https://www.gov.uk/government/news/corona-virus-outbreak-flights-from-china"
"674","Press release","CMO for England statement on the Wuhan novel coronavirus","Statement from the Chief Medical Officer for England, Professor Chris Whitty, on Wuhan novel coronavirus.","Department of Health and Social Care",2020-01-24,"https://www.gov.uk/government/news/cmo-for-england-statement-on-the-wuhan-novel-coronavirus"
"675","News story","Covid support for Welsh businesses - Job Support Scheme expanded","Welsh Secretary welcomes the expansion of the UK Government’s Job Support Scheme.","Office of the Secretary of State for Wales, HM Treasury, and The Rt Hon Simon Hart MP",2020-10-15,"https://www.gov.uk/government/news/covid-support-for-welsh-businesses-job-support-scheme-expanded"
"676","News story","Coronavirus support measures help every region and nation in the UK","New data published today reveals how businesses across every corner of the UK continue to be supported through government-backed coronavirus loan schemes.","HM Treasury and Office of the Secretary of State for Wales",2020-08-07,"https://www.gov.uk/government/news/coronavirus-support-measures-help-every-region-and-nation-in-the-uk"
"677","Press release","New webinars to boost support for SMEs during coronavirus","The Department for International Trade is hosting a series of coronavirus (COVID-19) webinars, free for SMEs across the UK.","Department for International Trade and The Rt Hon Elizabeth Truss MP",2020-05-04,"https://www.gov.uk/government/news/new-webinars-to-boost-support-for-smes-during-coronavirus"
"678","Press release","New planning rules to protect our cultural heritage","Theatres, concert halls and live music performance venues to be protected.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-07-12,"https://www.gov.uk/government/news/new-planning-rules-to-protect-our-cultural-heritage"
"679","Press release","NHS Test and Trace service to strengthen regional contact tracing","NHS Test and Trace and Public Health England will extend its partnership with local authorities to reach more people testing positive and their contacts.","Department of Health and Social Care",2020-08-10,"https://www.gov.uk/government/news/nhs-test-and-trace-service-to-strengthen-regional-contact-tracing"
"680","News story","Ofqual seeks views on GCSE and A level grading proposals for 2020","Consultation published on exceptional arrangements for awarding GCSEs, AS, A levels, Extended Project Qualification and Advanced Extension Award in maths.","Ofqual",2020-04-15,"https://www.gov.uk/government/news/ofqual-seeks-views-on-gcse-and-a-level-grading-proposals-for-2020"
"681","Press release","More targeted action in local areas to curb the spread of coronavirus","Government and local leaders in Oldham, Pendle and Blackburn have agreed additional measures to curb the spread of coronavirus (COVID-19).","Department of Health and Social Care",2020-08-21,"https://www.gov.uk/government/news/more-targeted-action-in-local-areas-to-curb-the-spread-of-coronavirus"
"682","Press release","UK to work with African Union to slow spread of coronavirus in Africa","The UK will invest up to £20 million in the African Union’s new ‘African Union Covid19 Response Fund’ to tackle coronavirus and save lives.","Department for International Development and The Rt Hon Anne-Marie Trevelyan MP",2020-05-20,"https://www.gov.uk/government/news/uk-to-work-with-african-union-to-slow-spread-of-coronavirus-in-africa"
